feature,mean_abs_shap
emp.var.rate,1.197142888478216
cons.price.idx,0.529075929681854
nr.employed,0.34598945387607616
pdays,0.2994662225735104
"euribor_bin_(1.0, 2.0]",0.2539775918544174
contact_telephone,0.19683781605877032
"euribor_bin_(5.0, 10.0]",0.18020799404638116
euribor3m,0.17753056527968367
contact_cellular,0.16703139854525315
month_may,0.160807272623851
cons.conf.idx,0.14335186873014416
"conf_bin_(-50.824, -47.386]",0.1350271417521113
"conf_bin_(-47.386, -43.971]",0.11626611884582207
previous,0.10883976906340051
y_yes,0.09414777899536075
poutcome_success,0.09092860091024016
month_aug,0.07881577460159293
job_group_White-Collar Professionals,0.06460883082165614
month_mar,0.06426967565157402
"conf_bin_(-43.971, -40.557]",0.059144784432532724
age_group_Early Adults (18–21),0.052993552276003233
job_admin.,0.05102525273390701
month_nov,0.04885355833788283
education_university.degree,0.04326683317109446
poutcome_failure,0.03773392775981406
poutcome_nonexistent,0.03673723275769198
month_jun,0.03621636131598371
marital_married,0.03413301248741872
marital_single,0.034028403404520124
